# 0: step          1: T             2: P             3: L_x           4: E_kin/N       5: E_pot0/N      6: E_pot1/N      7: E_tot/N       
 2.000000000e+03  9.997243795e-01  1.036385295e+00  1.280000000e+02  1.499586569e+00  2.571092639e+00  1.816651228e+01  1.827946743e-05 
 4.000000000e+03  9.994821468e-01  1.038349055e+00  1.280000000e+02  1.499223220e+00  2.571974185e+00  1.816723334e+01  1.828048613e-05 
 6.000000000e+03  1.000635714e+00  1.038257341e+00  1.280000000e+02  1.500953571e+00  2.571738501e+00  1.816643989e+01  1.828106255e-05 
 8.000000000e+03  9.994638501e-01  1.042324594e+00  1.280000000e+02  1.499195775e+00  2.573209130e+00  1.816506382e+01  1.827969533e-05 
 1.000000000e+04  1.000352921e+00  1.041482154e+00  1.280000000e+02  1.500529382e+00  2.573079541e+00  1.816576396e+01  1.828126059e-05 
 1.200000000e+04  9.992566461e-01  1.034174530e+00  1.280000000e+02  1.498884969e+00  2.570817753e+00  1.816700632e+01  1.827907086e-05 
 1.400000000e+04  1.000627633e+00  1.039782686e+00  1.280000000e+02  1.500941450e+00  2.572051105e+00  1.816666977e+01  1.828149852e-05 
 1.600000000e+04  9.983512840e-01  1.042257665e+00  1.280000000e+02  1.497526926e+00  2.573308753e+00  1.816502111e+01  1.827837028e-05 
 1.800000000e+04  9.999919386e-01  1.040737299e+00  1.280000000e+02  1.499987908e+00  2.572310380e+00  1.816615526e+01  1.828050487e-05 
 2.000000000e+04  9.998910591e-01  1.041050750e+00  1.280000000e+02  1.499836589e+00  2.572373496e+00  1.816461200e+01  1.827916377e-05 
 2.200000000e+04  1.000068013e+00  1.040656544e+00  1.280000000e+02  1.500102020e+00  2.572426655e+00  1.816515752e+01  1.827987409e-05 
 2.400000000e+04  9.995406784e-01  1.031995663e+00  1.280000000e+02  1.499311018e+00  2.570477584e+00  1.816820788e+01  1.828012916e-05 
 2.600000000e+04  9.989708402e-01  1.042108113e+00  1.280000000e+02  1.498456260e+00  2.572570552e+00  1.816519811e+01  1.827867289e-05 
 2.800000000e+04  9.976319614e-01  1.037510938e+00  1.280000000e+02  1.496447942e+00  2.572110716e+00  1.816636138e+01  1.827760025e-05 
 3.000000000e+04  9.999657306e-01  1.031933092e+00  1.280000000e+02  1.499948596e+00  2.569698376e+00  1.816693412e+01  1.827896568e-05 
